# variable: T
# units: $^oC$
date leadtime station lat lon altitude obs
20120105 3 415 49.35 -122.77 0 -7.62
20120105 4 415 49.35 -122.77 0 -6.37
20120105 5 415 49.35 -122.77 0 -5.61
20120105 6 415 49.35 -122.77 0 -5.01
20120105 7 415 49.35 -122.77 0 -4.15
20120105 8 415 49.35 -122.77 0 -3.06
20120105 9 415 49.35 -122.77 0 -2.18
20120105 10 415 49.35 -122.77 0 -1.28
20120105 11 415 49.35 -122.77 0 -1.44
20120105 12 415 49.35 -122.77 0 0.09
20120105 13 415 49.35 -122.77 0 -1.68
20120105 14 415 49.35 -122.77 0 -0.99
20120105 15 415 49.35 -122.77 0 -1.56
20120105 16 415 49.35 -122.77 0 -3.23
20120105 17 415 49.35 -122.77 0 -3.57
20120105 18 415 49.35 -122.77 0 -5.45
20120105 19 415 49.35 -122.77 0 -6.03
20120105 20 415 49.35 -122.77 0 -6.30
20120105 21 415 49.35 -122.77 0 -6.71
20120105 22 415 49.35 -122.77 0 -8.70
20120105 23 415 49.35 -122.77 0 -8.40
